B, L
1/12/2011 11:34:36 AM
Set #2

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0      14.8      149.4          104        104.6
    10      14.5      150.5          103        112.3
    20      14.2      151.6          102        120.0
    30      13.3      152.9          101        128.0
    40      13.9      154.2           99        135.2
    50      13.5      155.6           98        142.6
    60      14.7      157.1           96        144.5
    70      16.4      158.5           95        145.3
    80      16.4      160.0           93        145.8
    90      16.5      161.5           92        145.6
   100      15.6      162.9           91        145.8
   110      14.8      164.4           89        145.3
   120      14.8      165.8           88        145.6
   130      15.9      167.3           86        145.3
   140      15.8      168.7           85        145.6
   150      16.2      170.2           83        145.3
   160      16.0      171.6           82        145.6
   170      16.0      173.1           80        145.0
   180      15.1      174.5           79        145.3
   190      14.7      176.0           77        145.0
   200      14.6      177.4           76        144.8
   210      14.0      178.9           75        144.8
   220      13.9      180.3           73        144.2
   230      13.4      181.8           72        144.8
   240      13.4      183.2           70        144.0
   250      13.4      184.7           69        144.2
   260      13.5      186.1           67        143.7
   270      13.8      187.5           66        144.0
   280      13.8      189.0           64        143.7
   290      14.0      190.4           63        143.7
   300      14.5      191.9           62        144.0
   310      15.3      193.3           60        143.7
   320      15.7      194.7           59        144.0
   330      16.2      196.2           57        143.7
   340      16.6      197.6           56        144.2
   350      17.5      199.1           54        144.0
   360      17.4      200.5           53        144.2
   370      18.2      201.9           52        144.0
   380      17.9      203.4           50        144.2
   390      18.1      204.8           49        144.0
   400      17.0      206.3           47        144.0
   410      16.4      207.7           46        143.4
   420      15.6      209.1           44        143.4
   430      15.4      210.6           43        143.2
   440      16.1      212.0           41        142.9
   450      15.3      213.4           40        142.9
   460      15.0      214.9           39        142.4
   470      15.3      216.3           37        142.9
   480      15.0      217.7           36        142.6
   490     -15.3      219.1           34        142.4
   500     -16.0      220.5           33        140.2
   510     -16.3      221.9           32        138.4
   520     -17.9      223.3           30        135.7
   530     -17.2      224.6           29        133.3
   540     -17.4      225.9           28        130.1
   550     -16.0      227.2           26        130.7
   560      17.7      228.2           25         97.7
   570      17.4      229.0           24         68.9
   580      18.8      229.6           24         54.0
   590      19.0      230.1           23         47.6
   600      21.7      230.5           23         32.7
   610      19.9      230.8           23         31.6
   620      17.6      231.1           22         22.3
   630      16.5      231.3           22         15.1
   640      16.2      231.4           22         13.0
   650     -18.1      231.5           22         11.4
   660     -18.1      231.6           22          7.7
   670     -19.2      231.6           22          4.7
   680     -21.2      231.7           22          1.5
   690       0.0      231.6           22         -1.8
   700      -1.5      231.6           22         -7.9
   710       0.0      231.4           22        -21.0
   720       0.0      231.2           22        -28.7
   730       0.0      230.8           23        -33.8
   740       0.0      230.4           23        -39.6
   750       0.0      229.9           24        -47.6
   760       0.0      229.3           24        -56.4
   770       0.0      228.6           25        -64.6
   780       0.0      227.8           26        -70.2
   790       0.0      227.0           26        -75.0
   800       0.0      226.1           27        -88.1
   810       0.0      225.1           28        -96.1
   820       0.0      224.1           29       -102.7
   830       0.0      223.0           30       -109.4
   840       0.0      221.9           32       -116.8
   850       0.0      220.7           33       -125.1
   860       0.0      219.3           34       -134.7
   870       0.0      217.9           36       -141.6
   880      -1.8      216.5           37       -143.2
   890      -4.1      215.1           38       -144.0
   900      -5.1      213.6           40       -144.0
   910      -5.1      212.2           41       -144.0
   920      -4.9      210.8           43       -144.0
   930      -5.7      209.3           44       -144.0
   940      -6.5      207.9           46       -144.2
   950      -6.9      206.4           47       -144.2
   960      -6.6      205.0           48       -144.0
   970      -6.6      203.5           50       -144.0
   980      -6.9      202.1           51       -143.7
   990      -6.7      200.7           53       -144.0
  1000      -7.1      199.2           54       -144.0
  1010      -7.4      197.8           56       -144.0
  1020      -8.2      196.3           57       -143.7
  1030      -9.1      194.9           59       -144.0
  1040     -10.0      193.5           60       -144.0
  1050     -10.4      192.0           61       -144.2
  1060     -11.4      190.6           63       -144.2
  1070     -12.3      189.1           64       -144.5
  1080     -12.6      187.7           66       -144.5
  1090     -12.6      186.2           67       -144.2
  1100     -12.9      184.8           69       -144.2
  1110     -13.3      183.4           70       -144.2
  1120     -13.2      181.9           72       -144.2
  1130     -13.5      180.5           73       -144.0
  1140     -13.0      179.0           74       -144.0
  1150     -13.3      177.6           76       -144.0
  1160     -13.3      176.2           77       -144.0
  1170     -13.8      174.7           79       -144.0
  1180     -14.1      173.3           80       -144.0
  1190     -14.0      171.8           82       -144.0
  1200     -14.0      170.4           83       -143.7
  1210     -13.8      169.0           84       -143.7
  1220     -13.7      167.5           86       -143.4
  1230     -13.6      166.1           87       -143.4
  1240     -12.9      164.7           89       -143.2
  1250     -12.1      163.2           90       -143.2
  1260     -11.2      161.8           92       -142.6
  1270     -10.3      160.4           93       -142.9
  1280      -8.8      158.9           95       -142.4
  1290      -7.7      157.5           96       -142.4
  1300      -6.7      156.1           97       -142.4
  1310      -5.4      154.7           99       -142.1
  1320      -4.2      153.2          100       -142.1
  1330      -3.0      151.8          102       -141.8
  1340      -1.6      150.4          103       -141.8
  1350       0.0      149.0          104       -141.3
  1360       0.0      147.6          106       -141.3
  1370       0.0      146.3          107       -124.8
  1380      -6.1      145.1          108        -99.3
  1390     -11.7      144.1          109        -95.0
  1400      -8.5      143.4          110        -65.7
  1410      -3.0      142.9          111        -53.5
  1420       0.0      142.5          111        -32.7
  1430       0.0      142.2          111        -29.8
  1440       0.0      142.0          111        -22.3
  1450       0.0      141.8          112        -15.4
  1460       0.0      141.7          112         -9.8
  1470       0.0      141.6          112         -8.7
  1480       0.0      141.6          112         -6.6
  1490       0.0      141.5          112         -4.7
  1500       0.0      141.5          112         -2.1
  1510       7.5      141.5          112          0.5
  1520      18.4      141.5          112          3.7
  1530      16.7      141.6          112          9.5
  1540      17.0      141.7          112         15.1
  1550      17.4      142.0          111         21.5
  1560      16.8      142.3          111         28.2
  1570      18.2      142.6          111         34.8
  1580      18.8      143.1          110         42.5
  1590      18.5      143.6          110         50.8
  1600      18.9      144.2          109         59.1
  1610      18.3      145.0          108         67.0
  1620      18.4      145.8          108         75.3
  1630      18.4      146.7          107         84.3
  1640      19.2      147.7          106        103.5
  1650      19.2      148.9          105        113.9
  1660      18.3      150.1          103        125.3
  1670      18.5      151.4          102        135.5
  1680      18.0      152.8          101        144.0
  1690      20.0      154.3           99        145.6
  1700      21.2      155.8           98        146.1
  1710      22.4      157.2           96        146.4
  1720      23.6      158.7           95        147.2
  1730      24.2      160.2           93        148.0
  1740      24.7      161.7           92        148.2
  1750      24.9      163.1           90        149.3
  1760      26.0      164.6           89        149.3
  1770      27.5      166.1           87        150.1
  1780      28.9      167.6           86        149.8
  1790      30.5      169.1           84        150.1
  1800      31.2      170.6           83        149.8
  1810      31.7      172.1           81        149.8
  1820      31.4      173.6           80        149.6
  1830      31.7      175.1           78        149.8
  1840      31.4      176.6           77        150.4
  1850      30.8      178.1           75        149.8
  1860      29.9      179.6           74        149.3
  1870      29.9      181.1           72        149.3
  1880      29.7      182.6           71        149.0
  1890      29.5      184.1           69        149.3
  1900      29.5      185.6           68        149.3
  1910      29.9      187.1           66        149.6
  1920      29.8      188.6           65        149.0
  1930      29.7      190.1           63        149.6
  1940      29.6      191.6           62        149.3
  1950      29.3      193.1           60        149.8
  1960      29.6      194.6           59        149.6
  1970      29.6      196.1           57        149.6
  1980      28.9      197.6           56        149.8
  1990      29.3      199.1           54        149.3
  2000      30.3      200.6           53        149.8
  2010      30.6      202.1           51        149.8
  2020      29.6      203.6           50        149.8
  2030      29.5      205.0           48        149.6
  2040      28.2      206.5           47        149.3
  2050      27.8      208.0           45        149.3
  2060      27.5      209.5           44        149.0
  2070      26.6      211.0           42        149.6
  2080      26.1      212.5           41        149.0
  2090      25.0      214.0           39        149.6
  2100      24.0      215.5           38        149.0
  2110      22.6      217.0           36        149.3
  2120      21.2      218.5           35        149.3
  2130      20.7      220.0           33        149.0
  2140      19.9      221.5           32        149.3
  2150      18.8      223.0           30        149.0
  2160      17.5      224.4           29        149.3
  2170      17.0      225.9           28        149.0
  2180      17.7      227.4           26        154.4
  2190      26.6      228.5           25        109.4
  2200      25.3      229.4           24         74.2
  2210      26.3      230.1           23         67.6
  2220      25.9      230.5           23         45.7
  2230      21.2      230.9           23         29.8
