E, B NB
11/24/2010 10:01:25 AM
Set #2

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0       0.0      181.7          104         -4.2
    10      11.3      181.7          104          1.3
    20      12.9      181.7          104          4.5
    30      15.0      181.6          104          9.8
    40      17.6      181.5          104         17.3
    50      21.2      181.2          104         27.1
    60      25.2      180.9          103         40.1
    70      27.7      180.5          103         50.5
    80      28.8      179.8          102         61.4
    90      28.9      179.0          102         77.7
   100      27.7      178.0          101         93.9
   110      27.8      176.8           99        110.4
   120      27.9      175.4           98        139.7
   130      32.1      174.0           97        145.8
   140      36.4      172.5           95        146.9
   150      39.2      171.0           94        148.5
   160      41.4      169.5           92        149.3
   170      42.3      168.0           91        149.8
   180      41.7      166.5           89        150.1
   190      41.1      165.0           88        150.1
   200      40.4      163.5           86        150.1
   210      39.8      162.0           85        149.6
   220      38.1      160.5           83        149.6
   230      35.8      159.0           82        149.3
   240      33.7      157.5           80        149.0
   250      31.5      156.1           79        148.5
   260      31.0      154.6           77        148.8
   270      30.3      153.1           76        149.0
   280      30.1      151.6           74        148.8
   290      29.4      150.1           73        149.3
   300      29.4      148.6           71        149.3
   310      29.5      147.1           70        149.6
   320      30.6      145.6           68        149.6
   330      31.6      144.1           67        149.8
   340      32.6      142.6           65        149.8
   350      34.8      141.1           64        150.1
   360      35.9      139.6           62        150.1
   370      37.5      138.1           61        150.1
   380      38.3      136.6           59        150.4
   390      39.6      135.1           58        150.1
   400      41.4      133.6           56        150.4
   410      42.9      132.1           55        150.1
   420      43.8      130.6           53        150.4
   430      44.7      129.1           52        150.4
   440      45.5      127.6           50        150.1
   450      45.8      126.1           49        150.1
   460      45.1      124.6           47        150.1
   470      45.5      123.1           46        149.8
   480      45.3      121.6           44        149.8
   490      45.0      120.1           43        149.8
   500      44.3      118.6           41        149.6
   510      43.5      117.1           40        149.3
   520      42.2      115.6           38        149.6
   530      41.0      114.1           37        149.0
   540      39.1      112.6           35        149.0
   550      38.2      111.1           34        148.8
   560      36.0      109.6           32        149.0
   570      34.1      108.1           31        148.5
   580      32.7      106.7           29        149.0
   590      31.3      105.2           28        148.8
   600      29.8      103.7           26        148.8
   610      27.8      102.2           25        148.8
   620      26.0      100.7           23        148.5
   630      23.7       99.2           22        148.8
   640      21.4       97.7           20        148.5
   650      19.5       96.3           19        133.6
   660      22.8       94.9           17        121.9
   670      26.0       93.7           16        116.0
   680      24.4       92.9           15         79.3
   690      24.8       92.3           15         52.4
   700      20.9       91.8           14         43.9
   710      16.8       91.4           14         34.6
   720      16.2       91.2           14         23.1
   730     -15.8       91.0           14         14.9
   740      15.3       90.9           13         13.3
   750     -16.8       90.8           13         10.1
   760     -34.0       90.8           13          0.7
   770     -10.8       90.8           13        -12.7
   780     -25.3       91.1           14        -29.2
   790     -20.1       91.6           14        -52.1
   800     -13.6       92.4           15        -76.4
   810      -6.4       93.4           16        -96.6
   820       0.0       94.6           17       -110.7
   830       0.0       95.9           18       -121.1
   840      -3.0       97.4           20       -143.4
   850     -16.2       98.9           21       -146.9
   860     -29.4      100.4           23       -149.8
   870     -36.7      101.9           24       -151.7
   880     -37.4      103.4           26       -152.5
   890     -32.1      104.9           27       -152.0
   900     -26.0      106.4           29       -150.4
   910     -22.6      107.9           30       -149.8
   920     -23.7      109.4           32       -149.8
   930     -26.7      110.9           33       -150.1
   940     -29.7      112.4           35       -150.9
   950     -32.4      114.0           37       -150.9
   960     -32.2      115.5           38       -151.4
   970     -31.2      117.0           40       -150.9
   980     -29.7      118.5           41       -150.4
   990     -29.5      120.0           43       -150.1
  1000     -29.7      121.5           44       -150.4
  1010     -29.5      123.0           46       -150.6
  1020     -28.8      124.5           47       -150.1
  1030     -27.6      126.0           49       -150.4
  1040     -27.4      127.5           50       -149.8
  1050     -27.3      129.0           52       -150.1
  1060     -28.1      130.5           53       -149.8
  1070     -27.6      132.0           55       -150.4
  1080     -27.5      133.5           56       -150.1
  1090     -26.1      135.0           58       -149.6
  1100     -24.8      136.5           59       -149.3
  1110     -24.2      138.0           61       -149.0
  1120     -24.0      139.5           62       -149.6
  1130     -24.8      141.0           64       -149.6
  1140     -25.2      142.5           65       -149.8
  1150     -25.1      144.0           67       -149.6
  1160     -24.6      145.5           68       -149.0
  1170     -23.3      147.0           70       -149.3
  1180     -23.2      148.5           71       -149.0
  1190     -22.5      150.0           73       -149.6
  1200     -23.2      151.5           74       -149.3
  1210     -22.9      153.0           76       -149.6
  1220     -22.7      154.5           77       -149.3
  1230     -21.8      155.9           78       -149.0
  1240     -21.5      157.4           80       -149.3
  1250     -21.1      158.9           81       -149.3
  1260     -21.3      160.4           83       -149.6
  1270     -19.8      161.9           84       -149.0
  1280     -19.0      163.4           86       -149.3
  1290     -17.7      164.9           87       -149.0
  1300     -17.3      166.4           89       -149.0
  1310     -15.8      167.9           90       -149.0
  1320     -14.7      169.4           92       -149.3
  1330     -13.4      170.9           93       -149.3
  1340     -11.5      172.4           95       -148.8
  1350      -9.4      173.9           96       -149.3
  1360      -8.0      175.3           98       -149.0
  1370      -6.5      176.8           99       -148.2
  1380     -13.6      178.1          101       -124.3
  1390     -20.0      179.2          102        -94.7
  1400     -21.1      179.9          102        -71.8
  1410     -18.1      180.5          103        -47.6
  1420     -11.2      180.9          103        -38.3
  1430       0.0      181.2          104        -23.4
  1440       0.0      181.4          104        -19.4
  1450       0.0      181.5          104        -12.2
  1460       0.0      181.6          104         -7.7
  1470       0.0      181.7          104         -6.3
  1480       2.9      181.7          104         -4.5
  1490       4.1      181.7          104         -0.5
  1500       4.6      181.7          104          0.7
  1510       9.7      181.7          104          3.4
  1520      10.3      181.7          104          6.9
  1530      13.3      181.6          104         11.7
  1540      14.9      181.4          104         17.5
  1550      18.5      181.2          104         25.5
  1560      22.0      180.9          103         36.2
  1570      22.2      180.5          103         49.2
  1580      28.6      179.9          102         64.4
  1590      28.4      179.2          102         82.7
  1600      29.7      178.3          101        101.9
  1610      29.9      177.3          100        122.7
  1620      29.6      176.0           99        144.0
