G, S nb
1/4/2006 10:15:45 AM
Set #2

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0      22.7      131.1           92        126.4
    10      20.9      129.7           90        142.1
    20      21.6      128.2           89        148.5
    30      22.2      126.7           87        148.8
    40      22.2      125.2           86        149.0
    50      20.8      123.7           84        149.3
    60      20.4      122.2           83        149.3
    70      20.4      120.7           81        149.3
    80      20.5      119.2           80        149.6
    90      20.6      117.7           78        149.6
   100      21.0      116.2           77        149.8
   110      20.7      114.8           75        149.8
   120      20.2      113.3           74        149.6
   130      19.8      111.8           72        149.3
   140      19.4      110.3           71        149.8
   150      18.9      108.8           69        149.3
   160      18.4      107.3           68        149.3
   170      18.5      105.8           66        149.6
   180      18.4      104.3           65        149.6
   190      18.0      102.8           63        149.6
   200      17.8      101.3           62        149.6
   210      17.1       99.8           60        149.8
   220      17.0       98.3           59        149.6
   230      16.7       96.8           57        149.8
   240      16.2       95.3           56        149.3
   250      15.9       93.8           54        149.8
   260      16.5       92.3           53        149.6
   270      16.1       90.8           51        149.6
   280      15.2       89.3           50        149.3
   290      14.7       87.8           48        149.6
   300      14.3       86.3           47        149.6
   310      14.0       84.8           45        149.6
   320      12.7       83.3           44        149.6
   330      12.2       81.8           42        149.6
   340      12.1       80.3           41        149.6
   350      11.1       78.8           39        149.6
   360      10.6       77.3           38        149.6
   370      10.1       75.8           36        149.6
   380       9.8       74.3           35        149.3
   390       9.1       72.8           33        149.6
   400       9.1       71.4           32        130.7
   410      12.7       70.2           31        100.0
   420      12.5       69.3           30         75.8
   430      10.6       68.6           29         57.7
   440       9.8       68.1           29         43.9
   450       9.0       67.7           28         33.5
   460       8.5       67.4           28         25.5
   470       8.0       67.1           28         19.1
   480       7.0       67.0           28         14.6
   490       7.0       66.8           27         11.1
   500       7.0       66.7           27          8.5
   510       6.4       66.6           27          6.6
   520       5.9       66.6           27          4.7
   530       5.4       66.5           27          3.7
