b, j  nb
6/7/2010 10:02:56 AM
Set #2

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec    FT-LBS    Degrees      Degrees       DEG/SEC
     0       0.0      176.4          101         -1.3
    10      19.5      176.3          101          9.8
    20      21.6      176.2          101         21.2
    30      27.8      175.8          100         33.2
    40      20.9      175.3          100         47.9
    50      28.6      174.7           99         62.2
    60      32.7      173.9           98         79.3
    70      33.4      172.8           97         98.7
    80      31.8      171.6           96        119.2
    90      31.9      170.1           95        145.6
   100      34.7      168.6           93        148.0
   110      37.5      167.1           92        149.0
   120      38.2      165.6           90        149.8
   130      39.2      164.1           89        150.1
   140      40.6      162.6           87        150.4
   150      42.9      161.1           86        150.1
   160      44.3      159.6           84        150.4
   170      45.1      158.1           83        150.4
   180      45.9      156.6           81        150.4
   190      45.2      155.1           80        150.6
   200      45.6      153.6           78        150.4
   210      44.9      152.1           77        150.4
   220      45.9      150.6           75        150.6
   230      46.5      149.0           74        150.6
   240      46.8      147.5           72        150.6
   250      47.1      146.0           71        150.4
   260      46.8      144.5           69        150.4
   270      46.7      143.0           68        150.4
   280      47.0      141.5           66        150.4
   290      47.2      140.0           65        150.1
   300      46.9      138.5           63        150.4
   310      47.2      137.0           62        150.4
   320      47.5      135.5           60        149.8
   330      47.3      134.0           59        150.4
   340      47.5      132.5           57        149.8
   350      46.2      131.0           56        150.1
   360      45.0      129.5           54        149.8
   370      44.1      128.0           53        149.6
   380      42.4      126.5           51        149.3
   390      41.0      125.0           50        149.3
   400      40.7      123.5           48        149.3
   410      39.9      122.0           47        149.0
   420      39.0      120.5           45        149.3
   430      38.1      119.0           44        149.0
   440      37.9      117.6           42        149.3
   450      37.2      116.1           41        149.0
   460      36.3      114.6           39        149.0
   470      35.3      113.1           38        149.0
   480      34.2      111.6           36        149.0
   490      33.1      110.1           35        149.0
   500      32.0      108.6           33        148.8
   510      30.9      107.1           32        149.0
   520      29.5      105.6           30        148.8
   530      28.6      104.1           29        148.8
   540      27.3      102.6           27        149.0
   550      25.8      101.1           26        149.0
   560      24.8       99.7           24        149.0
   570      24.9       98.3           23        130.4
   580      32.3       97.0           22        127.7
   590      34.5       96.1           21         88.6
   600      34.7       95.3           20         59.3
   610      33.6       94.8           19         43.1
   620      31.3       94.4           19         35.4
   630      27.0       94.2           19         25.0
   640      23.8       94.0           19         18.3
   650      21.2       93.8           18         12.5
   660      17.5       93.7           18          7.7
   670      13.9       93.7           18          6.3
   680      12.6       93.6           18          3.9
   690      11.3       93.6           18          2.9
   700     -12.0       93.6           18          2.3
   710     -12.8       93.6           18          1.5
   720      -2.5       93.6           18          0.2
   730      -1.5       93.6           18         -0.5
   740       0.0       93.6           18         -1.0
   750       0.0       93.6           18         -2.1
   760      -8.2       93.7           18        -11.1
   770      -9.9       93.9           18        -24.7
   780      -6.5       94.2           19        -40.4
   790      -7.0       94.6           19        -50.0
   800      -0.7       95.2           20        -56.9
   810       0.0       96.0           21        -65.7
   820      -0.1       96.7           21        -71.8
   830      -4.7       97.6           22        -78.5
   840      -7.8       98.5           23        -88.6
