b, v
6/25/2002 2:28:55 PM
Set #3

  TIME    TORQUE   POSITION    POS (ANAT)    VELOCITY
  mSec       N-M    Degrees      Degrees       DEG/SEC
     0       0.0      147.0           91         -0.2
    10       1.2      147.0           91          0.5
    20       1.8      147.0           91          0.5
    30       1.9      146.9           90          0.2
    40       1.9      146.9           90          0.2
    50       3.9      146.9           90          1.5
    60       3.9      146.9           90          2.3
    70       4.9      146.9           90          2.3
    80       5.3      146.9           90          2.6
    90       4.9      146.9           90          3.7
   100       5.3      146.9           90          4.7
   110       5.3      146.8           90          5.5
   120       5.3      146.8           90          6.3
   130       5.3      146.8           90          7.4
   140       5.3      146.7           90          8.5
   150       6.0      146.7           90          9.5
   160       6.0      146.6           90         10.3
   170       6.1      146.6           90         10.3
   180       6.6      146.5           90         13.8
   190       6.6      146.4           90         13.8
   200       6.6      146.4           90         15.4
   210       6.6      146.3           90         16.7
   220       7.5      146.2           90         18.1
   230       7.5      146.1           90         19.4
   240       7.6      146.0           90         21.0
   250       7.6      145.9           89         22.6
   260       7.6      145.7           89         24.2
   270       7.7      145.6           89         25.8
   280       7.7      145.5           89         27.1
   290       7.7      145.3           89         29.2
   300       7.7      145.2           89         30.3
   310       8.1      145.0           89         31.6
   320       8.3      144.8           88         34.3
   330       8.4      144.7           88         35.6
   340       8.4      144.5           88         37.0
   350       9.1      144.3           88         38.6
   360       9.1      144.1           88         40.7
   370       9.1      143.9           87         42.5
   380       9.8      143.7           87         44.4
   390      10.6      143.4           87         46.5
   400      11.4      143.2           87         48.7
   410      11.4      142.9           86         51.3
   420      12.1      142.7           86         53.7
   430      12.7      142.4           86         56.1
   440      13.8      142.1           86         59.3
   450      14.2      141.8           85         62.0
   460      14.4      141.4           85         65.2
   470      15.2      141.1           85         68.6
   480      15.2      140.7           84         72.1
   490      15.9      140.4           84         75.6
   500      15.9      140.0           84         79.0
   510      16.0      139.5           83         82.7
   520      16.0      139.1           83         86.7
   530      17.1      138.7           82         89.9
   540      17.2      138.2           82         94.2
   550      17.5      137.7           81         98.2
   560      17.6      137.2           81        102.4
   570      17.8      136.7           80        106.4
   580      18.3      136.1           80        110.4
   590      19.3      135.5           79        114.7
   600      19.3      134.9           78        119.2
   610      20.3      134.3           78        123.5
   620      20.3      133.7           77        128.0
   630      20.9      133.0           77        132.5
   640      20.6      132.3           76        137.6
   650      21.0      131.6           75        142.6
   660      21.0      130.9           74        146.1
   670      22.0      130.1           74        147.4
   680      23.3      129.4           73        147.4
   690      24.1      128.7           72        147.7
   700      24.3      127.9           71        148.0
   710      25.0      127.2           71        148.0
   720      25.0      126.4           70        148.0
   730      24.5      125.7           69        148.2
   740      24.5      125.0           69        148.2
   750      25.2      124.2           68        148.8
   760      25.2      123.5           67        149.0
   770      26.0      122.7           66        148.8
   780      26.8      122.0           66        149.3
   790      27.3      121.2           65        149.3
   800      27.3      120.5           64        149.6
   810      27.8      119.7           63        149.0
   820      27.7      119.0           63        149.6
   830      27.9      118.2           62        149.6
   840      27.9      117.5           61        149.6
   850      28.7      116.8           60        149.3
   860      28.1      116.0           60        149.8
   870      28.7      115.3           59        149.6
